title,abstract,year,authors,included
Hardware support of JPEG,"Image formats specified by the joint photographic expert group (JPEG) are preferred for images with high colour content. Along with graphic interchange format (GIF) images, JPEG is the most commonly used image format on the Internet and JPEG is the de facto still image format for digital cameras. All major digital camera manufacturers use JPEG as its exclusive or primary still image format. Most JPEG processing occurs in software programs like Microsoft Paint and Adobe Photoshop. Relatively few hardware solutions exist for processing JPEG images. This paper presents a comprehensive literature survey of hardware solutions for JPEG images. Wherever possible, different JPEG formats and accompanying hardware are presented and compared to illustrate various advantages/disadvantages. The performance of hardware and software for JPEG is compared and an overview of commercial hardware for JPEG is also provided",2005,"Elbadri, M., Peterkin, R., Groza, V., Ionescu, D., El Saddik, A.",0
Harnessing Digital Evolution,"In digital evolution, self-replicating computer programs-digital organisms-experience mutations and selective pressures, potentially producing computational systems that, like natural organisms, adapt to their environment and protect themselves from threats. Such organisms can help guide the design of computer software.",2008,"By Philip McKinley , Betty H.C. Cheng , Charles Ofria , David Knoester , Benjamin Beckmann , Heather Goldsby",0
HCI and the Face: Towards an Art of the Soluble,"We propose a computer vision-based pipeline that enables altering the appearance of faces in videos. Assuming a surveillance scenario, we combine GMM-based background subtraction with an improved version of the GrabCut algorithm to find and segment pedestrians. Independently, we detect faces using a standard face detector. We apply the neural art algorithm, utilizing the responses of a deep neural network to obfuscate the detected faces through style mixing with reference images. The altered faces are combined with the original frames using the extracted pedestrian silhouettes as a guideline. Experimental evaluation indicates that our method has potential in producing de-identified versions of the input frames while preserving the utility of the de-identified data.",2016,Christoph Bartneck and Michael J. Lyons,0
HCI reality?an ?Unreal Tournament??,"A common solution to multi-agent decision problems is to commit a team of collaborating agents to a joint plan. Once committed, any deviation from the plan by an agent, is hazardous. Hence, in many such systems, agents ignore potential beneficial actions not in the plan, (even if such ""opportunistic"" actions increase the expected utility of the team). We model the (stochastic) tradeoff of such opportunistic actions vs. continued commitment to the joint plan, and address this issue as a formal decision problem under uncertainty. We use a modified version of the AWOL model, presented in an earlier paper, showing how it works in the context of a simplified version of the unreal tournament (TM) computer game. Empirical results suggest that it is faster to compute the solution to the AWOL abstraction than to solve the problem in the original domain.",2006,"Christoph Bartneck_, Matthias Rauterberg",0
Healthcare Knowledge Management: The Art of the Possible,"Healthcare organizations are increasingly adopting knowledge management systems (KMS) for clinical use, which have been established in technical support organizations for several years. While a technical support organization can utilize its KMS to directly address customer needs using its infrastructure and established processes, the effectiveness and success of KMS in a healthcare organization relies on the collective practice of healthcare professionals. In this research, the knowledge management processes and infrastructure in the two industries is compared. Seven hypotheses are developed and tested using a survey in two organizations, one in each industry to measure the contributions of different components of knowledge management infrastructure and processes towards organizational effectiveness. The results indicate that culture plays a larger role than structure in healthcare. Knowledge acquisition processes are more important in healthcare, compared with conversion and application in technical support. These results have implications for the selection and implementation of KMS in healthcare.",2008,Syed Sibte Raza Abidi,0
HEGESMA: Genome search meta-analysis and heterogeneity testing,"<p><b>Summary:</b> Heterogeneity and genome search meta-analysis (HEGESMA) is a comprehensive software for performing genome scan meta-analysis, a quantitative method to identify genetic regions (bins) with consistently increased linkage score across multiple genome scans, and for testing the heterogeneity of the results of each bin across scans. The program provides as an output the average of ranks and three heterogeneity statistics, as well as corresponding significance levels. Statistical inferences are based on Monte Carlo permutation tests. The program allows both unweighted and weighted analysis, with the weights for each study as specified by the user. Furthermore, the program performs heterogeneity analyses restricted to the bins with similar average ranks.</p>   <p>      <b>Availability:</b>      <URLREF>http://biomath.med.uth.gr</URLREF>   </p>   <p>      <b>Contact:</b>      <EMAILREF>zintza@med.uth.gr</EMAILREF>   </p>",2005,"Zintzaras, E.a , Ioannidis, J.P.A.b c",0
Helps and Hints for Learning with Web Based Learning Systems: The Role of Instructions,"AbstractThis study investigated the role of specific and unspecific tasks for learning declarative knowledge and skills with a web based learning system. Results show that learners with specific tasks where better for both types of learning. Nevertheless, not all kinds of learning outcomes were equally influenced by instruction. Therefore, instructions should be selected carefully in correspondence with desired learning goals.",2004,Angela Brunstein and Josef F. Krems,0
Hemodynamic Analysis of Cerebral Aneurysm and Stenosed Carotid Bifurcation Using Computational Fluid Dynamics Technique,"<p>Cerebrovascular diseases are one of the three major mortalities in Japan, such as the rupture of cerebral aneurysm and cerebral infarction caused by carotid stenosis. The growth mechanism of the cerebral aneurysm and carotid stenosis has not been clearly understood. In this research, we are introducing a numerical simulation tool; Computational Fluid Dynamics (CFD) technique, to simulate and predict the hemodynamics of blood passing through the cerebral aneurysms and stenosed carotid arteries. The results of a ruptured and an unruptured cerebral aneurysm were compared. Energy losses were calculated in ruptured and unruptured cerebral aneurysms, the results were 167 Pa and 6.3 Pa respectively. The results also indicated that the blood flows took longer residence inside of bleb of the ruptured aneurysm. The maximum wall shear stress was observed at 70% stenosis from the simulation results of stenosed carotid bifurcation. The result qualitatively agrees with classical treatments in carotid bifurcation therapy.</p>",2007,"Yi Qian, Tetsuji Harada, Koichi Fukui, Mitsuo Umezu, Hiroyuki Takao and Yuichi Murayama",0
Heuristic Expert Review Model and Tool,"Surgical simulators present a safe and potentially effective method for surgical training, and can also be used in robot-assisted surgery for pre- and intra-operative planning. Accurate modeling of the interaction between surgical instruments and organs has been recognized as a key requirement in the development of high-fidelity surgical simulators. Researchers have attempted to model tool-tissue interactions in a wide variety of ways, which can be broadly classified as (1) linear elasticity-based, (2) nonlinear (hyperelastic) elasticity-based finite element (FE) methods, and (3) other techniques not based on FE methods or continuum mechanics. Realistic modeling of organ deformation requires populating the model with real tissue data (which are difficult to acquire <italic>in vivo</italic>) and simulating organ response in real time (which is computationally expensive). Further, it is challenging to account for connective tissue supporting the organ, friction, and topological changes resulting from tool-tissue interactions during invasive surgical procedures. Overcoming such obstacles will not only help us to model tool-tissue interactions in real time, but also enable realistic force feedback to the user during surgical simulation. This review paper classifies the existing research on tool-tissue interactions for surgical simulators specifically based on the modeling techniques employed and the kind of surgical operation being simulated, in order to inform and motivate future research on improved tool-tissue interaction models.",2008,"Kirsten D. Smith, Matthew Smith, Paul Buis",0
Heuristics for information visualization evaluation,"This paper presents a review of heuristic evaluation and recommendations for how to apply the method for information visualization evaluation. Heuristic evaluation is a widely known and popular method within the area of human-computer interaction and the information visualization community now also recognizes its usefulness. However, in this area it is not applied to the same extent. In its original form the method has limitations that need to be considered in order for it to be optimal for information visualization. The aim with this paper is to provide the reader with knowledge about the method and awareness of what issues that call for refined or supplemental actions and resources in order for it to generate as valid and useful results as possible. The paper also discusses the research challenges for future work in how to further improve the method.",2012,"Torre Zuk, Lothar Schlesier, Petra Neumann, Mark S. Hancock, Sheelagh Carpendale",0
Hierarchy and Centralization in Free and Open Source software team communications,"AbstractFree/Libre Open Source Software (FLOSS) development teams provide an interesting and convenient setting for studying distributed work. We begin by answering perhaps the most basic question: what is the social structure of these teams? We conducted social network analyses of bug-fixing interactions from three repositories: Sourceforge, GNU Savannah and Apache Bugzilla. We find that some OSS teams are highly centralized, but contrary to expectation, others are not. Projects are mostly quite hierarchical on four measures of hierarchy, consistent with past research but contrary to the naive image of these projects. Furthermore, we find that the level of centralization is negatively correlated with project size, suggesting that larger projects become more modular, or possibly that becoming more modular is a key to growth. The paper makes a further methodological contribution by identifying appropriate analysis approaches for interaction data. We conclude by sketching directions for future research.",2006,"by Kevin Crowston, James Howison",0
Higher Order Color Mechanisms for Image Segmentation,"In this paper, we propose the efficient approach to tackle the multi-label interactive image segmentation issue by applying the higher order Conditional Random Fields model which associates superpixel as higher order energy. People did take advantage of CRF model for unsupervised segmentation for years, but it requires training set for providing neccessary information. Therefore, unsupervised strategy is fairly restrictive for the variety of image contexts and categorizations. For this reason, the user interaction seems inevitable to help us address the multi- label segmentation's riddle in accordance with exploiting CRF perspectives. The promising experiments are conducted in MSRC and Berkeley dataset comparing with the original Conditional Random Fields framework.",2012,Thorsten Hansen and Karl R. Gegenfurtner,0
High-level design for user and component interfaces.,"Future industrial products will incorporate embedded microcomputers that will require advanced graphical user interfaces (GUIs). These GUIs will incorporate innovative input and display technologies, such as gestural input, multimedia, three dimensional displays, as well as new metaphors, and agents. These technology advances present challenges and opportunities for designers of human-computer communication and interaction",1992,G. V. Bochmann.,0
How Do Adults Solve Digital Tangram Problems? Analyzing Cognitive Strategies Through Eye Tracking Approach,"<p>Purpose of the study is to investigate how adults solve tangram based geometry problems on computer screen. Two problems with different difficulty levels were presented to 20 participants. The participants tried to solve problems by placing seven geometric objects into correct locations. In order to analyze the process, the participants and their eye movements were recorded by an Tobii Eye Tracking device while solving the problems. The results showed that the participants employed different strategies while solving problems with different difficulty levels</p>",2007,"Bahar Baran, Berrin Dogusoy and Kursat Cagiltay",0
How Does Collaborative Group Technology Influence Social Network Structure?,"The relationship between technology and elements of the formal organization structure has long been of interest to information systems and organization researchers. A less-studied issue is how technology may also influence the informal social network structure. This research examines how various types of technological expertise relate to an individual's network centrality in the project teams of 99 MBA, MISM, and MAIS students at a large public university. To further understand this relationship, the project task was varied in terms of ""uncertainty "" and the formal group structures in terms of departmentation. Results indicate that individuals who are proficient with various types of technologies tend to be more central in their class advice network. However, this relationship depends on both the level of task uncertainty and group departmentation. Implications are drawn for practice and research.",2008,"By Mark Keith , Haluk Demirkan , Michael Goul",0
How personality type influences decision paths in the unfolding model of voluntary job turnover: an application to IS professionals,"<p>A new model for understanding job turnover was introduced into the management literature a decade ago [26], analyzing the process by which employees decide to leave their jobs. This ""unfolding model of voluntary turnover"" is a radical departure from traditional models of job turnover, positing that turnover is not necessarily triggered by job dissatisfaction. In addition to empirical testing with nurses, accountants, and other knowledge workers, the unfolding model has also been applied to study IS personnel. Based on a study of IS graduates from two American universities, Niederman and Sumner [34] concluded that IS employees appear not to follow the common decision paths identified by Lee and Mitchell in their initial conceptualization of the unfolding model; instead, a vast majority of respondents followed turnover decisions path not specified in the model. Although other modifications to the model have since been made [12], it is still not clear why the study of IS professionals diverged so much from prior studies of other types of knowledge workers. We first explore and identify the divergence of results between IS employees and other occupations that have been studied with the model, and then propose that an individual's personality type can affect the likelihood that he or she will follow specific decision paths in the model -- such as leaving without having a new job arranged in advance. We contribute to the IS personnel literature by offering a novel explanation for the divergence in prior empirical results. In addition, by examining personality type, we seek to open a new area of study, in terms of examining the relationship between personality type and employees' preferences for following certain paths leading to job turnover.</p>",2007,"Ga?tan Mourmant, Mike Gallivan",0
"How to Perform Credible Verification,Validation, and Accreditation for Modeling and Simulation","Many large-scale system development efforts use modeling and simulation (M&S) to lower their life-cycle costs and reduce risks. Unfortunately, these M&S tools can introduce new risks associated with potential errors in creating the model (programming errors) and inadequate fidelity (errors in accuracy when compared to real-world results). To ensure that a valid model and a credible simulation exist, verification and validation (V&V) of the model and the resulting simulation must be completed. This article discusses conducting effective and credible V&V on M&S",2005,Dr. David A. Cook and Dr. James M. Skinner,0
How to steer an embedded software project: tactics for selecting the software process model,"Modern large new product developments (NPD) are typically characterized by many uncertainties and frequent changes. Often the embedded software development projects working on such products face many problems compared to traditional, placid project environments. One of the major project management decisions is then the selection of the project's software process model. An appropriate process model helps coping with the challenges, and prevents many potential project problems. On the other hand, an unsuitable process choice causes additional problems. This paper investigates the software process model selection in the context of large market-driven embedded software product development for new telecommunications equipment. Based on a quasi-formal comparison of publicly known software process models including modern agile methodologies, we propose a process model selection frame, which the project manager can use as a systematic guide for (re)choosing the project's process model. A novel feature of this comparative selection model is that we make the comparison against typical software project problem issues. Some real-life project case examples are examined against this model. The selection matrix expresses how different process models answer to different questions, and indeed there is not a single process model that would answer all the questions. On the contrary, some of the seeds to the project problems are in the process models themselves. However, being conscious of these problems and pitfalls when steering a project enables the project manager to master the situation.",2005,"Petri Kettunen*, Maarit Laanti1",0
Human and social factors of software engineering: workshop summary,"Software is developed for people and by people. Human and social factors have a very strong impact on the success of software development endeavours and the resulting system. Surprisingly, much of software engineering research in the last decade is technical, quantitative and deemphasizes the people aspect. The workshop on Human and Social Factors in Software Engineering has been picking up on the some of the soft aspects in software development that was highlighted in the early days of software engineering. It also follows a recent trend in the software industry, namely the introduction of agile methods, and provides a scientific perspective on these. Including and combining approaches of software engineering with social science, the workshop looked at software engineering from a number of perspectives, including those of agile methods and communication theory, in order to point out solutions and conditions for human-centred software engineering.",2005,"Michael John, Frank Maurer, Bj?rnar Tessem",0
Human Computing and Machine Understanding of Human Behavior: A Survey,"Understanding human behaviors is a challenging problem in computer vision that has recently seen important advances. Human behavior understanding combines image and signal processing, feature extraction, machine learning, and 3-D geometry. Application scenarios range from surveillance to indexing and retrieval, from patient care to industrial safety and sports analysis. Given the broad set of techniques used in video-based behavior understanding and the fast progress in this area, in this paper we organize and survey the corresponding literature, define unambiguous key terms, and discuss links among fundamental building blocks ranging from human detection to action and interaction recognition. The advantages and the drawbacks of the methods are critically discussed, providing a comprehensive coverage of key aspects of video-based human behavior understanding, available datasets for experimentation and comparisons, and important open research issues.",2013,"Maja Pantic, Alex Pentland, Anton Nijholt and Thomas S. Huang",0
Human-Aware Computer System Design,"In order to improve Liquid fertilizer efficiency, Liquid variable fertilizing control system was designed with two working modes: a manual control and an automatic control mode. Taking the S3C44B0X microprocessor of ARM7 series as the core device, according to the fertilizing amount of the current location, the system was able to combined together for the machine speed and access to data, and the fertilizing amount from digital quantity to the flow of Liquid output was transformed. Flow Sensor was taken, a closed-loop feedback regulation to control the opening of electrical actuators was formed, adjusted valve opening to compete the variable fertilization. The test results in the field showed that the relative error of the variable fertilizing amount was less than 5%, When the fertilizing amount was 245-294kg/hm<sup>2</sup>, the system can realize the requirements of variable fertilizing.",2011,"Ricardo Bianchini, Richard P. Martin, Kiran Nagaraja, Thu D. Nguyen, F?bio Oliveira",0
Hybrid Modeling of Test-and-Fix Processes in Incremental Development,"V-model and its variants have become the most common process models adopted in automotive industry guiding the development of systems on a variety of refinement levels. Along with the exponentially growing complexity of modern vehicle systems, however, the late verification and validation in the conventional V-model expand in uncontrollable ways that result in higher cost of development and higher risk of failure than ever. This paper describes an inc-V development process for automotive industry that improves the conventional V-model and variants by introducing and institutionalizing early and continuous integrated verification enabled by simulation-based development. We developed a continuous simulation model of the inc-V process, and the initial version is used to investigate the characteristics of the inc-V compared to V. The preliminary finding from the simulations of an example project is that the inc-V process is able to improve the traditional V process by saving effort, shortening duration, and increasing product quality. The finding also show how the advance of development technology impacts the systems engineering processes.",2016,"He Zhang, Ross Jeffery and Liming Zhu",0
I See What You See: Eye Movements in Real-World Scenes Are Affected by Perceived Direction of Gaze,"<p><p>In this chapter, we report an investigation the influence of the saliency of another person's direction of gaze on an observer's eye movements through real-world scenes. Participants' eye movements were recorded while they viewed a sequence of scene photographs that told a story. A subset of the scenes contained an actor. The actor's face was highly likely to be fixated, and when it was, the observer's next saccade was more likely to be toward the object that was the focus of the actor's gaze than in any other direction. Furthermore, when eye movement patterns did not show an immediate saccade to the focused object, observers were nonetheless more likely to fixate the focused object than a control object within close temporal proximity of fixation on the face. We conclude that during real-world scene perception, observers are sensitive to another's direction of gaze and use it to help guide their own eye movements.</p></p>",2008,"Monica S. Castelhano, Mareike Wieth and John M. Henderson",0
ICT assessment: Moving beyond journal outputs,"AbstractThere are increasing moves to deploy quantitative indicators in the assessment of research, particularly in the university sector. In Australia, discussions surrounding their use have long acknowledged the unsuitability of many standard quantitative measures for most humanities, arts, social science, and applied science disciplines. To fill this void, several projects are running concurrently. This paper details the methodology and initial results for one of the projects that aims to rank conferences into prestige tiers, and which is fast gaining a reputation for best practice in such exercises. The study involves a five-stage process: identifying conferences; constructing a preliminary ranking of these; engaging in extensive consultation; testing performance measures based on the rankings on live data; and assessing the measures.In the past, many similar attempts to develop a ranking classification for publication outlets have faltered due to the inability of researchers to agree on a hierarchy. However the Australian experience suggests that when researchers are faced with the imposition of alternative metrics that are far less palatable, consensus is more readily achieved.",2008,Linda Butler,0
ICT for Patient Safety: Towards a European Research Roadmap,"<p>This paper analyses key issues towards a research roadmap for eHealth-supported patient safety. The raison d&#39;etre for research in this area is the high number of adverse patient events and deaths that could be avoided if better safety and risk management mechanisms were in place. The benefits that ICT applications can bring for increased patient safety are briefly reviewed, complemented by an analysis of key ICT tools in this domain. The paper outlines the impact of decision support tools, CPOE, as well as incident reporting systems. Some key research trends and foci like data mining, ontologies, modelling and simulation, virtual clinical trials, preparedness for large-scale events are touched upon. Finally, the synthesis points to the fact that only a multilevel analysis of ICT in patient safety will be able to address this complex issue adequately. The eHealth for Safety study will give insights into the structure of such an analysis in its lifetime and arrive at a vision and roadmap for more detailed research on increasing patient safety through ICT.</p>",2006,"Veli N. Stroetmann, Daniel Spichtinger, Karl A. Stroetmann and Jean Pierre Thierry",0
ICT-Mediated Synchronous Communication in Creative Teamwork: From Cognitive Dust to Semantics,"<p>A substantial amount of research has focused on small group meetings and how technology can support the meetings. Many applications and tools have resulted from such work but very few are used regularly because, we believe, they are not flexible enough to accommodate the naturally ill-structured processes of ""creative teams"". Our research aims at developing effective ICT-based support for such teams by understanding what is happening during creative teamwork - at both human-human and human-technology levels-through multimodal observational channels and providing appropriate and timely intervention. This paper describes the infrastructure for capturing ICT-mediated interactions (cognitive dust) and the approach for transforming these low-level data into meaningful and useful information (semantics), and presents the initial result of our work on transforming cognitive dust into semantics.</p>",2007,Vivian Nguyen and Paul Swatman,0
Identification and Prediction of Economic Regimes to Guide Decision Making in Multi-Agent Marketplaces,"Supply chain management is commonly employed by businesses to improve organizational processes by optimizing the transfer of goods, information, and services between buyers and suppliers. Traditionally, supply chains have been created and maintained through the interactions of human representatives of the various companies involved. However, the recent advent of autonomous software agents opens new possibilities for automating and coordinating the decision making processes between the various parties involved. <p>Autonomous agents participating in supply chain management must typically make their decisions in environments of high complexity, high variability, and high uncertainty since only limited information is visible. <p>We present an approach whereby an autonomous agent is able to make tactical decisions, such as product pricing, as well as strategic decisions, such as product mix and production planning, in order to maximize its profit despite the uncertainties in the market. The agent predicts future market conditions and adapts its decisions on procurement, production, and sales accordingly. <p>Using a combination of machine learning and optimization techniques; the agent first characterizes the microeconomic conditions, such as over-supply or scarcity, of the market. These conditions are distinguishable statistical patterns that we call economic regimes. They are learned from historical data by using a Gaussian Mixture Model to model the price density of the different products and by clustering price distributions that recur across days. <p>In real-time the agent identifies the current dominant market condition and forecasts market changes over a planning horizon. Methods for the identification of regimes are explored in detail, and three different algorithms are presented. One is based on exponential smoothing, the second on a Markov prediction process, and the third on a Markov correction-prediction process. We examine a wide range of tuning options for these algorithms, and show how they can be used to predict prices, price trends, and the probability of receiving a customer order. <p>We validate our methods by presenting experimental results from the Trading Agent Competition for Supply Chain Management, an international competition of software agents that has provided inspiration for this work. We also show how the same approach can be applied to the stock market.",2007,Wolfgang Ketter,0
Identifying and Acquiring the Ideal Business/Technology Teaching In English (BTTIE) Educators for Asian International Schools,"International educational institutions teaching all subjects in English, from elementary to graduate schools, are proliferating across Asia. Many Asian school personnel, both local and foreign, have amassed a plethora of expertise and experience re: teaching english to speakers of other languages (TESOL) and even Business English Teaching (BET), but the relatively new area of business and technology teaching in english (BTTIE) remains <i>terra</i> <i>incognita</i>. Typically, at the average Asian educational institution: the foreign Native English Speaking Teachers (NESTs) possess neither extensive business/technology backgrounds nor advanced degrees in related subjects; the local and foreign business/technology teachers either aren't proficient in English or are capable but not considered NESTs. Newcomers might be both content and teaching experts, but it's unlikely they'll know how to teach effectively in Asia. This paper: describes the characteristics and qualifications re: the ideal BTTIE educators for Asian international schools; suggests alternative sources and processes for obtaining teachers due to the current/future shortage of such professionals. Educational technology utilization is touted as a necessary factor for both teaching and teachers. The interstate new teacher assessment and support consortium (INTASC) Standards are cited and adapted to the BTTIE-specific educator/education discussion.",2007,By David W. Deeds,0
Identifying Data Transfer Objects in EJB Applications,"Data transfer object (DTO) is a design pattern that is commonly used in Enterprise Java applications. Identification of DTOs has a range of uses for program comprehension, optimization, and evolution. We propose a dynamic analysis for identifying DTOs in Enterprise Java applications. The analysis tracks the reads and writes of object fields, and maintains information about the application tier that initiates the field access. The lifecycle of a DTO is represented by a finite state automaton that captures the relevant run-time events and the location of the code that triggers these events. We implemented the proposed approach using the JVMTI infrastructure in Java 6, and performed a study on a real-world Enterprise Java application which is deployed for commercial use. Our results indicate that the dynamic analysis achieves high precision and has acceptable overhead.",2007,"By Alexandar Pantaleev , Atanas Rountev",0
Identifying Failure Causes in Java Programs: An Application of Change Impact Analysis,"During program maintenance, a programmer may make changes that enhance program functionality or fix bugs in code. Then, the programmer usually will run unit/regression tests to prevent invalidation of previously tested functionality. If a test fails unexpectedly, the programmer needs to explore the edit to find the failure-inducing changes for that test. Crisp uses results from Chianti, a tool that performs semantic change impact analysis, to allow the programmer to examine those parts of the edit that affect the failing test. Crisp then builds a compilable intermediate version of the program by adding a programmer-selected partial edit to the original code, augmenting the selection as necessary to ensure compilation. The programmer can reexecute the test on the intermediate version in order to locate the exact reasons for the failure by concentrating on the specific changes that were applied. In nine initial case studies on pairs of versions from two real Java programs, Daikon and Eclipse jdt compiler, we were able to use Crisp to identify the failure-inducing changes for all but 1 of 68 failing tests. On average, 33 changes were found to affect each failing test (of the 67), but only 1-4 of these changes were found to be actually failure-inducing",2006,"By Xiaoxia Ren , Ophelia C. Chesley , Barbara G. Ryder",0
Identifying Rare Events for Forensic Purposes,"Detection of outliers and anomalous behavior is a well-known problem in the data mining and statistics fields. Although the problem of identifying single outliers has been extensively studied in the literature, little effort has been devoted to detecting small groups of outliers that are similar to each other but markedly different from the entire population. Many real-world scenarios have small groups of outliers--for example, a group of students who excel in a classroom or a group of spammers in an online social network. In this article, the authors propose a novel method to solve this challenging problem that lies at the frontiers of outlier detection and clustering of similar groups. The method transforms a multidimensional dataset into a graph, applies a network metric to detect clusters, and renders a representation for visual assessment to find rare events. The authors tested the proposed method to detect pathologic cells in the biomedical science domain. The results are promising and confirm the available ground truth provided by the domain experts.",2015,Malcolm Corney,0
Identifying the characteristics of successful expert systems: an empirical evaluation,"<p>The effective use of Information Technology &#40;IT&#41; to help modern companies improve service quality, financial performance, customer satisfaction and productivity is a very crucial issue nowadays. Intelligent solutions, based on Expert Systems &#40;ES&#41;, to solve complicated practical problems in various sectors are becoming more and more widespread. However, the real success of applied expert systems in the improvement of companies&#39; performance is being investigated by the research community. In this framework, the primary objective of this paper is to present what is important for a successful ES application in terms of quality and what kind of mistakes can be made. Our analysis is based on an empirical evaluation of three ES applications that have successfully been in industrial use for a long time and in the development of which we have been personally involved. The key findings are expressed as 14 hypotheses for a successful ES. The support of each application to the hypotheses is discussed.</p>",2006,"Kostas Metaxiotis, Dimitris Th. Askounis, Konstantinos Nikolopoulos",0
IGSTK: An Open Source Software Toolkit for Image-Guided Surgery,"Image-guided surgery applies leading-edge technology and clinical practices to provide better quality of life to patients who can benefit from minimally invasive procedures. Reliable software is a critical component of image-guided surgical applications, yet costly expertise and technology infrastructure barriers hamper current research and commercialization efforts in this area. IGSTK applies the open source development and delivery model to this problem. Agile and component-based software engineering principles reduce the costs and risks associated with adopting this new technology, resulting in a safe, inexpensive, robust, shareable, and reusable software infrastructure.",2006,"By Kevin Gary , Luis Ibanez , Stephen Aylward , David Gobbi , M. Brian Blake , Keven Cleary",0
Image is everything: Advancing HCI knowledge and interface design using the system image,"As the field of human-computer interaction matures, the need for proven, dependable engineering processes for interface development becomes apparent. Our continuing work in developing LINK-UP, an integrated design and reuse environment, suggests that a better understanding of the system image is key to the successful evaluation of design prototypes, and an aide in applying knowledge from the repository. This paper describes our ongoing work to enhance LINK-UP by developing and augmenting the system image to make it the central communication point between different stages of design and between different stakeholders. We report on a study of the new task flow that demonstrated the value of the system image within a broader design context. Overall, our findings indicate that the effective creation and use of knowledge repositories by novice HCI designers hinges on successful application of existing HCI design concepts within a practical integrated design environment.",2005,"Jason Chong Lee, C. M. Chewar, D. Scott Mccrickard",0
Impact of organizational structure on distributed requirements engineering processes: lessons learned,"The requirements engineering program at Siemens Corporate Research has been involved with process improvement, training and project execution across many of the Siemens operating companies. We have been able to observe and assist with process improvement in mainly global software development efforts. Other researchers have reported extensively on various aspects of distributed requirements engineering, but issues specific to organizational structure have not been well categorized. Our experience has been that organizational and other management issues can overshadow technical problems caused by globalization. This paper describes some of the different organizational structures we have encountered, the problems introduced into requirements engineering processes by these structures, and techniques that were effective in mitigating some of the negative effects of global software development.",2006,Brian Berenbach,0
Impact of software engineering research on the practice of Software Configuration Management.,"The past ten years have seen a radical shift in business application software development. Rather than developing software from scratch using a conventional programming language, the majority of commercial software is now developed through reuse - the adaptation and configuration of existing software systems to meet specific organizational requirements. The most widespread form of reuse is through the use of generic systems, such as ERP and COTS systems, that are configured to meet specific organizational requirements. In this paper, I discuss the implications of software construction by configuration (CbC) for software engineering. Based on our experience with systems for medical records and university administration, I highlight some of the issues and problems that can arise in 'construction by configuration'. I discuss problems that arise in CbC projects and identify a number of challenges for research and practice to improve this approach to software engineering.",2008,"J. Estublier, D. Leblang, A. Van der Hoek, R. Conradi, G. Clemm, W. Tichy, and D. Wiborg-Weber.",0
Implementation difficulties of hospital information systems,"Most current virtual maintenance systems are independent of CAD systems and the results in modification, maintainability analysis and evaluation can not be shared by CAD systems automatically and directly, reducing design efficiency and making information silo. The approach integrating virtual reality function into CAD system is adopted to build product information model of virtual maintenance integrated into CAD System (VM-CADPIM) by extending CAD product information model and making it virtual maintenance system a part of CAD system. A virtual maintenance system integrated into CATIA seamlessly is developed based on the VM-CADPIM to implement the bidirectional information transmission between virtual maintenance system and CAD system. The correctness and effectiveness of the information model in eliminating the inherent defects of virtual maintenance system independent of CAD and making virtual maintenance system more practical and significant in engineering applications are shown.",2009,"Sag?irog?lu, O?., O?zturan, M.",0
Implementing Industrial Multi-agent Systems Using JACK,"Industrial control systems have been globally connected to the open computer networks for decentralized management and control purposes. Most of these networked control systems that are not designed with security protection can be vulnerable to network attacks nowadays, so there is a growing demand of efficient and scalable intrusion detection systems (IDS) in the network infrastructure of industrial plants. In this paper, we present a multi-agent IDS architecture that is designed for decentralized intrusion detection and prevention control in large switched networks. An efficient and biologically inspired learning model is proposed for anomaly intrusion detection in the multi-agent IDS. The proposed model called ant colony clustering model (ACCM) improves the existing ant-based clustering approach in searching for near-optimal clustering heuristically, in which meta-heuristics engages the optimization principles in swarm intelligence. In order to alleviate the curse of dimensionality, four unsupervised feature extraction algorithms are applied and evaluated on their effectiveness to enhance the clustering solution. The experimental results on KDD-Cup99 IDS benchmark data demonstrate that applying ACCM with one of the feature extraction algorithms is effective to detect known or unseen intrusion attacks with high detection rate and recognize normal network traffic with low false positive rate",2005,"Rick Evertsz, Martyn Fletcher, Richard Jones, Jacquie Jarvis, James Brusey and Sandy Dance",0
Implementing logic spreadsheets in less,"We developed a technique that detects superficial ocular pathologies based on the measurement of electrical impedance spectra. The sensor used is a small microelectrode made of platinum insulated from a cylindrical counterelectrode built of surgical stainless steel. The sensor has the shape of a truncated cone made of acrylic with dimensions identical to that of a standard Goldman prism. The sensor is applied to normal and pathological subject eyes with a constant force provided by a commercial tonometer. The circuit is closed through the lacrimal layer and the epithelial and endothelial cells. We measure the electrical impedance with a programmable logic device in which we implemented all the significant functions. These are the synthesis of the seventeen sines for the excitation, one lock-in, and delta-sigma modulators for the digital-to-analog converter and analog-to-digital converter requirements. A simple analog circuit filters the output, implements a voltage divider, and acts as current limiter in order not to damage the cells. We convert the measurements to resistance and capacitance as a function of frequencies. Consistent results are obtained for left and right eyes of the normal subjects. Significant differences are detected between the results for normal eyes and pathological eyes.",2012,"Andre Valente, David Van brackle, Hans Chalupsky, Gary Edwards",0
